#ID, Filename tag, description, is default?
1,Aminet,Aminet
2,NoIntro,No Intro
3,Uncensored,Uncensored
4,Censored,Censored
5,NONAGA,NONAGA
8,NoMovie,No Movie
9,AVI,AVI
10,LowMem,Designed for low memory systems
