# Alias rows:
# Multiple rows may share the same numeric ID.  The first row for an ID is the
# canonical token and description.  Later rows with the same ID are filename
# aliases that resolve to the same stored value.  Profiles should normally use
# the canonical token, while DAT filenames may contain any listed alias.
#
#ID, Filename tag, description, is default?
1,OCS,Original Chip Set,default
2,ECS,Enhanced Chip Set
3,AGA,Advanced Graphics Architecture
4,CD32,CD32 version
5,CDTV,CDTV version


